file,e_szs,e_exit,e_time,e_crash,zipperposition_szs,zipperposition_exit,zipperposition_time,zipperposition_crash
0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.04,False
0001_r001_20260331_221018_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0002_r002_20260331_221036_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.07,False
0003_r002_20260331_221036_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
0004_r003_20260331_221053_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.06,False
0005_r003_20260331_221053_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
0007_r004_20260331_221119_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
0009_r005_20260331_221136_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
0010_round001_20260331_201748_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0011_round001_20260331_201748_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0012_round002_20260331_201817_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.89,False
0013_round002_20260331_201817_prob_zipperposition_min_1.p,Theorem,0,0.02,False,Theorem,0,0.02,False
0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.04,False
0015_round003_20260331_201852_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
0016_round004_20260331_201918_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0017_round004_20260331_201918_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0018_round005_20260331_201942_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.84,False
0019_round005_20260331_201942_prob_zipperposition_min_1.p,Theorem,0,0.02,False,Theorem,0,0.02,False
0020_round006_20260331_202022_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.04,False
0021_round006_20260331_202022_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
0022_round007_20260331_202046_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0023_round007_20260331_202046_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.86,False
0025_round008_20260331_202108_prob_zipperposition_min_1.p,Theorem,0,0.02,False,Theorem,0,0.02,False
0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.04,False
0027_round009_20260331_202139_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
0028_round010_20260331_202202_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
0029_round010_20260331_202202_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0000_0011_round001_20260331_201748_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0001_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0002_0015_round003_20260331_201852_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0003_0027_round009_20260331_202139_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0004_0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0005_0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0006_0017_round004_20260331_201918_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0007_0013_round002_20260331_201817_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0008_0010_round001_20260331_201748_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.78,False
mut_0009_0027_round009_20260331_202139_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.02,False
mut_0010_0021_round006_20260331_202022_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0011_0016_round004_20260331_201918_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.05,False
mut_0012_0015_round003_20260331_201852_prob_zipperposition_min_1.p,Unknown,3,0.01,True,CounterSatisfiable,0,0.01,False
mut_0013_0015_round003_20260331_201852_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0014_0028_round010_20260331_202202_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
mut_0015_0007_r004_20260331_221119_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0016_0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0017_0009_r005_20260331_221136_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0018_0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.77,False
mut_0019_0007_r004_20260331_221119_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.02,False
mut_0020_0005_r003_20260331_221053_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0021_0010_round001_20260331_201748_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0022_0021_round006_20260331_202022_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
mut_0023_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0024_0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0025_0002_r002_20260331_221036_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.83,False
mut_0026_0022_round007_20260331_202046_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.02,False
mut_0027_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0028_0001_r001_20260331_221018_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0029_0029_round010_20260331_202202_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0030_0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.8,False
mut_0031_0021_round006_20260331_202022_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.02,False
mut_0032_0001_r001_20260331_221018_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0033_0016_round004_20260331_201918_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0034_0017_round004_20260331_201918_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0035_0011_round001_20260331_201748_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0036_0017_round004_20260331_201918_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0037_0004_r003_20260331_221053_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0038_0020_round006_20260331_202022_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.16,False
mut_0039_0013_round002_20260331_201817_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0040_0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0041_0022_round007_20260331_202046_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0042_0011_round001_20260331_201748_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0043_0029_round010_20260331_202202_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0044_0003_r002_20260331_221036_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0045_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0046_0019_round005_20260331_201942_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0047_0012_round002_20260331_201817_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,30.04,False
mut_0048_0005_r003_20260331_221053_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.02,False
mut_0049_0020_round006_20260331_202022_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0050_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0051_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0052_0019_round005_20260331_201942_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0053_0005_r003_20260331_221053_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0054_0010_round001_20260331_201748_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0055_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0056_0007_r004_20260331_221119_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0057_0013_round002_20260331_201817_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0058_0015_round003_20260331_201852_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
mut_0059_0019_round005_20260331_201942_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0060_0025_round008_20260331_202108_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0061_0027_round009_20260331_202139_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0062_0004_r003_20260331_221053_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0063_0023_round007_20260331_202046_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0064_0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0065_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0066_0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0067_0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0068_0012_round002_20260331_201817_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.81,False
mut_0069_0025_round008_20260331_202108_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0070_0011_round001_20260331_201748_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0071_0010_round001_20260331_201748_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.05,False
mut_0072_0011_round001_20260331_201748_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0073_0022_round007_20260331_202046_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0074_0028_round010_20260331_202202_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
mut_0075_0027_round009_20260331_202139_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
mut_0076_0015_round003_20260331_201852_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0077_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0078_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0079_0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0080_0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,GaveUp,0,0.01,False
mut_0081_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0082_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0083_0025_round008_20260331_202108_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0084_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0085_0004_r003_20260331_221053_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0086_0022_round007_20260331_202046_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
mut_0087_0018_round005_20260331_201942_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0088_0017_round004_20260331_201918_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0089_0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.0,True,Unknown,1,0.01,False
mut_0090_0020_round006_20260331_202022_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0091_0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0092_0000_r001_20260331_221018_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0093_0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.8,False
mut_0094_0026_round009_20260331_202139_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.04,False
mut_0095_0023_round007_20260331_202046_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0096_0021_round006_20260331_202022_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
mut_0097_0010_round001_20260331_201748_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.05,False
mut_0098_0020_round006_20260331_202022_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0099_0011_round001_20260331_201748_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0100_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0101_0018_round005_20260331_201942_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.89,False
mut_0102_0015_round003_20260331_201852_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.02,False
mut_0103_0011_round001_20260331_201748_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0104_0005_r003_20260331_221053_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0105_0027_round009_20260331_202139_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
mut_0106_0004_r003_20260331_221053_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0107_0015_round003_20260331_201852_prob_zipperposition_min_1.p,Unknown,3,0.01,True,CounterSatisfiable,0,0.01,False
mut_0108_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0109_0021_round006_20260331_202022_prob_zipperposition_min_1.p,Unknown,3,0.0,True,Unknown,1,0.01,False
mut_0110_0029_round010_20260331_202202_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0111_0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.84,False
mut_0112_0022_round007_20260331_202046_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.04,False
mut_0113_0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,30.02,False
mut_0114_0018_round005_20260331_201942_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0115_0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0116_0013_round002_20260331_201817_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0117_0023_round007_20260331_202046_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0118_0025_round008_20260331_202108_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,Satisfiable,0,0.01,False
mut_0119_0001_r001_20260331_221018_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0120_0021_round006_20260331_202022_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0121_0005_r003_20260331_221053_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,Unknown,1,0.01,False
mut_0122_0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.01,False
mut_0123_0023_round007_20260331_202046_prob_zipperposition_min_1.p,Unknown,3,0.0,True,Unknown,1,0.01,False
mut_0124_0017_round004_20260331_201918_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0125_0009_r005_20260331_221136_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
